Country,Province,City,Job_Title,Low_Salary_Yearly,Median_Salary_Yearly,Max_Salary_Yearly,Currency,Year,Cost_of_Living_Yearly
Canada,AB,Athabasca--Grande Prairie--Peace River,Professional occupations in business management consulting,27400,38940,59340,CAD,2016-2017,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,"Professional occupations in advertising, marketing and public relations",18460,34620,52880,CAD,2016-2017,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,"Supervisors, general office and administrative support workers",20500,28010,43590,CAD,2016-2017,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,"Supervisors, finance and insurance office workers",16150,30670,42240,CAD,2016-2017,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,"Supervisors, library, correspondence and related information workers",0,0,0,CAD,NA,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,"Supervisors, mail and message distribution occupations",0,0,0,CAD,NA,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,"Supervisors, supply chain, tracking and scheduling co-ordination occupations",15000,26920,38460,CAD,2016-2017,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,Administrative officers,18460,26440,36060,CAD,2016-2017,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,Executive assistants,19380,31250,46880,CAD,2016-2017,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,Human resources and recruitment officers,19000,28850,48080,CAD,2016-2017,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,Property administrators,15500,25480,44710,CAD,2016-2017,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,Purchasing agents and officers,0,0,0,CAD,NA,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,Conference and event planners,15000,22270,38460,CAD,2016-2017,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,Court officers and justices of the peace,0,0,0,CAD,NA,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,"Employment insurance, immigration, border services and revenue officers",23080,30770,45130,CAD,2016-2017,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,Administrative assistants,17000,24300,28210,CAD,2016-2017,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,Legal administrative assistants,18000,27000,35710,CAD,2016-2017,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,Medical administrative assistants,18500,25780,33710,CAD,2016-2017,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,"Court reporters, medical transcriptionists and related occupations",16150,27580,30000,CAD,2016-2017,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,Health information management occupations,0,0,0,CAD,NA,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,Records management technicians,20670,27690,37380,CAD,2016-2017,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,Statistical officers and related research support occupations,22640,28620,74040,CAD,2017,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,Accounting technicians and bookkeepers,17000,25000,38460,CAD,2016-2017,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,Insurance adjusters and claims examiners,19690,31790,42000,CAD,2016-2017,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,Insurance underwriters,22000,30340,47180,CAD,2016-2017,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,"Assessors, valuators and appraisers",28460,36430,58310,CAD,2017,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,"Customs, ship and other brokers",0,0,0,CAD,NA,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,General office support workers,19000,25000,32000,CAD,2016-2017,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,Receptionists,15000,20000,28910,CAD,2016-2017,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,Personnel clerks,17400,25370,38360,CAD,2017,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,Court clerks,24540,31100,36960,CAD,2017,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,Data entry clerks,15000,21980,31790,CAD,2016-2017,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,Desktop publishing operators and related occupations,0,0,0,CAD,NA,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,Accounting and related clerks,18000,26050,37990,CAD,2016-2017,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,Payroll clerks,19230,26440,36260,CAD,2016-2017,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,"Banking, insurance and other financial clerks",15870,21150,33330,CAD,2016-2017,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,Collectors,0,0,0,CAD,NA,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,Library assistants and clerks,15000,20500,36000,CAD,2016-2017,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,"Correspondence, publication and regulatory clerks",15380,24290,36000,CAD,2016-2017,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,Survey interviewers and statistical clerks,16380,24500,50000,CAD,2016-2017,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,"Mail, postal and related workers",15000,25000,29830,CAD,2016-2017,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,Letter carriers,16630,25000,32870,CAD,2016-2017,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,"Couriers, messengers and door-to-door distributors",15000,25000,36060,CAD,2016-2017,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,Shippers and receivers,15000,20000,26440,CAD,2016-2017,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,Storekeepers and partspersons,17000,26220,33000,CAD,2016-2017,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,Production logistics co-ordinators,18000,33650,62500,CAD,2016-2017,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,Purchasing and inventory control workers,15000,22000,35580,CAD,2016-2017,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,Dispatchers,19000,27000,62500,CAD,2016-2017,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,Transportation route and crew schedulers,0,0,0,CAD,NA,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,Physicists and astronomers,0,0,0,CAD,NA,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,Chemists,29000,44710,60100,CAD,2016-2017,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,Geoscientists and oceanographers,0,0,0,CAD,NA,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,Meteorologists and climatologists,22730,46400,54660,CAD,2017,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,Other professional occupations in physical sciences,0,0,0,CAD,NA,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,Biologists and related scientists,24000,38460,53650,CAD,2016-2017,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,Forestry professionals,32500,47850,53390,CAD,2016-2017,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,"Agricultural representatives, consultants and specialists",0,0,0,CAD,NA,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,Civil engineers,28000,42050,65380,CAD,2016-2017,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,Mechanical engineers,0,0,0,CAD,NA,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,Electrical and electronics engineers,31730,48080,70000,CAD,2016-2017,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,Chemical engineers,30000,51280,86540,CAD,2016-2017,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,Industrial and manufacturing engineers,0,0,0,CAD,NA,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,Metallurgical and materials engineers,34130,53990,72120,CAD,2017,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,Mining engineers,0,0,0,CAD,NA,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,Geological engineers,30000,50610,96150,CAD,2017,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,Petroleum engineers,0,0,0,CAD,NA,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,Aerospace engineers,0,0,0,CAD,NA,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,Computer engineers (except software engineers and designers),27060,44570,70450,CAD,2017,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,"Other professional engineers, n.e.c.",20000,47310,72120,CAD,2016-2017,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,Architects,27450,36860,63190,CAD,2017,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,Landscape architects,0,0,0,CAD,NA,28000
